GATE_CRID_GW: 1244.428><-13.91787><1162.568><112.7032><0><><48><35
GATE_CRID_CC: -613.4393><1034.982><-187.4325><135.2032><1><><48><35
CRID_S01: 650.4276><-349.9179><568.5674><-223.2968><1><><48><35
CRID_S02: -1065.572><-10.91787><-1147.432><115.7032><0><><48><35
CRID_S03: 1124.428><-64.91788><1042.568><61.70327><2><><48><35
CRID_S04: -623.0392><992.3154><-187.4325><135.2032><2><><48><35
CRID_A01: 647.4276><-475.9179><566.1006><-349.8301><1><><48><35
CRID_A02: -132.5724><-421.9179><-214.4325><-295.2968><1><><48><35
CRID_A03: 341.4276><-451.9179><259.5674><-325.2968><0><><48><35
CRID_A04: 959.4276><-166.9178><877.5674><-40.29673><2><><48><35
CRID_A05: 494.4276><-340.9179><412.5674><-214.2967><0><><48><35
CRID_A06: 641.4276><-22.91786><559.5674><103.7032><0><><48><35
CRID_A07: 311.4276><-163.9178><229.5674><-37.29672><1><><48><35
CRID_A08: 368.4276><-163.9178><286.5674><-37.29672><2><><48><35
CRID_A09: -369.5724><247.0822><-451.4326><373.7032><0><><48><35
CRID_A10: 1082.428><-16.91786><1000.568><109.7032><1><><48><35
CRID_A11: -243.5724><-421.9179><-324.8992><-295.8301><2><><48><35
CRID_A12: -282.5724><-247.9178><-364.4326><-121.2968><0><><48><35
CRID_A13: 263.4276><-289.9179><181.5674><-163.2967><0><><48><35
CRID_A14: -684.5724><-91.91788><-765.366><34.16992><0><><48><35
CRID_A15: -438.5724><-412.9179><-519.3659><-285.7634><1><><48><35
CRID_A16: -923.1725><631.9153><-187.4325><135.2032><1><Corroded Manufactory><60><35
CRID_B01: 413.4276><-463.9179><330.5008><-337.2968><1><><100><35
CRID_B02: 35.42756><-226.9178><-46.43254><-100.2967><0><><100><35
CRID_B03: 101.4276><-427.9179><19.56747><-301.2968><1><><100><35
CRID_B04: 746.4276><-298.9179><664.5674><-172.2968><0><><100><35
CRID_B05: 419.4276><-52.91786><337.5674><73.1699><0><><100><35
CRID_B06: 842.4276><-19.91786><760.5674><106.7032><1><><100><35
CRID_B07: 29.42756><-328.9179><-52.43242><-202.83><1><><100><35
